Time(ns),Left Front_Femur,Left Front_Tibia,Left Front_Feet,Left Middle_Femur,Left Middle_Tibia,Left Middle_Feet,Left Back_Femur,Left Back_Tibia,Left Back_Feet,Right Front_Femur,Right Front_Tibia,Right Front_Feet,Right Middle_Femur,Right Middle_Tibia,Right Middle_Feet,Right Back_Femur,Right Back_Tibia,Right Back_Feet,Head_Roll,Head_Pitch,Head_Grip,Tail
51,80,108,145,95,95,135,70,105,145,70,76,30,121,73,40,77,62,25,0,0,0,0
51,80,108,145,94,95,135,70,108,142,70,76,30,120,68,42,77,62,25,0,0,0,3
51,80,117,136,94,95,135,70,115,136,70,76,30,120,60,47,77,62,25,0,2,0,7
63,81,120,134,94,95,135,70,118,134,71,76,30,120,56,49,77,62,25,0,4,0,10
51,81,124,131,93,95,135,71,122,131,71,76,30,119,52,51,78,62,25,0,9,0,14
51,82,127,129,93,95,135,72,125,129,72,76,30,118,48,53,79,62,25,0,9,0,18
51,83,129,126,92,95,135,72,128,126,73,76,30,118,45,55,79,62,25,0,13,0,21
51,83,129,126,92,95,135,72,128,126,73,76,30,118,45,55,79,62,25,0,13,0,25
51,84,132,124,90,95,135,73,131,124,74,76,30,117,41,57,81,62,25,0,18,0,28
51,87,137,120,90,95,135,75,136,120,77,76,30,115,35,61,81,62,25,0,20,0,28
65,90,141,116,87,95,135,78,141,116,79,76,30,112,30,64,85,62,25,0,22,0,36
51,91,143,115,86,95,135,79,143,115,81,76,30,111,27,65,86,62,25,0,22,0,39
51,93,145,113,85,95,135,80,145,113,83,76,30,110,25,66,87,62,25,0,24,0,43
51,95,146,112,84,95,135,82,146,112,84,76,30,108,24,67,89,62,25,0,27,0,46
51,97,147,111,82,95,135,83,147,111,86,76,30,107,22,68,90,62,25,0,31,0,50
51,99,148,110,81,95,135,85,148,110,88,76,30,105,21,69,92,62,25,0,31,0,54
51,101,149,110,80,95,135,86,149,110,90,76,30,104,20,69,93,62,25,0,36,0,57
60,103,149,110,78,95,135,88,149,110,92,76,30,102,20,69,95,62,25,0,38,0,61
51,103,149,110,77,95,135,90,150,110,94,76,30,102,20,69,97,62,25,0,40,0,64
51,108,149,110,74,95,135,93,149,110,97,76,30,97,20,69,100,62,25,0,40,0,68
51,110,148,110,73,95,135,94,148,110,99,76,30,96,21,69,101,62,25,0,42,0,72
51,110,148,110,72,95,135,96,147,111,101,76,30,94,22,68,103,62,25,0,47,0,75
51,116,145,113,69,95,135,99,145,113,104,76,30,91,25,66,106,62,25,0,49,0,79
51,118,143,115,68,95,135,100,143,115,106,76,30,90,27,65,107,62,25,0,51,0,82
51,118,143,115,68,95,135,100,143,115,106,76,30,90,27,65,107,62,25,0,54,0,90
51,119,141,116,67,95,135,101,141,116,108,76,30,89,30,64,109,62,25,0,56,0,90
63,124,135,122,64,95,135,105,134,122,112,76,30,85,38,59,112,62,25,0,58,0,90
51,125,132,124,63,95,135,106,131,124,113,76,30,84,41,57,113,62,25,0,60,0,91
51,126,129,126,62,95,135,107,128,126,114,76,30,83,45,55,114,62,25,0,60,0,91
51,126,129,126,61,95,135,107,128,126,114,76,30,83,45,55,114,62,25,0,65,0,92
51,128,120,134,60,95,135,109,118,134,116,76,30,81,56,49,116,62,25,0,67,0,92
51,129,117,136,60,95,135,109,115,136,117,76,30,81,60,47,116,62,25,0,67,0,92
51,129,114,139,60,95,135,109,112,139,117,76,30,81,64,44,116,62,25,0,69,0,93
51,129,111,142,60,95,135,109,108,142,117,76,30,81,68,42,116,62,25,0,74,0,93
51,130,108,145,60,95,135,110,105,145,118,76,30,81,73,40,117,62,25,0,74,0,94
51,129,108,145,60,99,133,109,105,145,117,71,33,81,73,40,116,58,28,0,76,0,94
67,129,108,145,60,103,131,109,105,145,117,67,36,81,73,40,116,55,32,0,81,0,94
51,129,108,145,60,107,129,109,105,145,117,67,36,81,73,40,116,52,35,0,83,0,95
51,128,108,145,61,116,125,108,105,145,116,54,45,82,73,40,115,45,42,0,83,0,95
51,127,108,145,61,119,123,107,105,145,115,50,48,83,73,40,114,42,45,138,90,0,96
51,126,108,145,62,123,121,107,105,145,114,46,50,83,73,40,114,40,48,136,88,0,96
51,125,108,145,63,127,120,106,105,145,113,43,53,84,73,40,113,37,51,136,88,0,96
51,124,108,145,64,130,118,105,105,145,112,39,55,85,73,40,112,34,54,134,86,0,97
51,122,108,145,65,133,117,104,105,145,110,36,58,86,73,40,111,32,56,131,83,0,97
51,121,108,145,66,136,115,102,105,145,109,33,60,88,73,40,109,30,59,129,81,0,98
51,119,108,145,67,139,114,101,105,145,108,30,62,89,73,40,108,28,61,127,80,0,98
63,118,108,145,68,141,113,100,105,145,106,28,64,90,73,40,107,26,63,127,80,0,98
51,116,108,145,69,144,112,99,105,145,104,26,65,91,73,40,106,24,65,124,77,0,99
51,114,108,145,70,145,111,97,105,145,103,24,66,93,73,40,104,23,66,122,75,0,99
51,112,108,145,72,147,111,96,105,145,101,22,68,94,73,40,103,22,67,122,75,0,99
51,112,108,145,72,147,111,96,105,145,101,22,68,94,73,40,103,22,67,120,73,0,98
51,108,108,145,74,149,110,93,105,145,97,20,69,97,73,40,100,20,69,119,72,0,98
51,106,108,145,76,149,110,91,105,145,95,20,69,99,73,40,98,20,69,117,70,0,97
51,105,108,145,77,150,110,90,105,145,94,20,70,101,73,40,97,20,70,113,67,0,97
51,103,108,145,78,149,110,88,105,145,92,20,69,102,73,40,95,20,69,112,65,0,97
51,101,108,145,80,149,110,86,105,145,90,20,69,104,73,40,93,20,69,110,64,0,96
51,101,108,145,80,149,110,86,105,145,90,20,69,104,73,40,93,20,69,110,64,0,96
55,97,108,145,82,147,111,83,105,145,86,22,68,107,73,40,90,22,67,108,62,0,96
51,95,108,145,84,145,111,82,105,145,84,24,66,108,73,40,89,23,66,106,60,0,95
51,93,108,145,85,144,112,80,105,145,83,26,65,110,73,40,87,24,65,105,59,0,95
51,93,108,145,86,141,113,80,105,145,83,26,65,110,73,40,86,26,63,103,57,0,95
51,88,108,145,88,136,115,77,105,145,78,33,60,113,73,40,84,30,59,101,55,0,94
51,87,108,145,89,133,117,75,105,145,77,36,58,115,73,40,82,32,56,100,54,0,94
51,87,108,145,90,130,118,74,105,145,75,39,55,115,73,40,81,34,54,96,51,0,93
51,83,108,145,92,123,121,72,105,145,73,46,50,118,73,40,79,40,48,94,49,0,93
64,82,108,145,93,119,123,72,105,145,72,50,48,118,73,40,79,42,45,93,47,0,93
51,81,108,145,93,116,125,71,105,145,71,54,45,119,73,40,78,45,42,91,46,0,92
51,81,108,145,94,111,127,70,105,145,71,58,42,120,73,40,77,49,38,91,46,0,92
51,80,108,145,94,107,129,70,105,145,70,62,39,120,73,40,77,52,35,89,44,0,92
51,80,108,145,94,103,131,70,105,145,70,67,36,120,73,40,77,55,32,86,41,0,91
51,80,108,145,94,99,133,70,105,145,70,71,33,120,73,40,77,58,28,86,41,0,91
51,80,108,145,95,95,135,70,105,145,70,76,30,121,73,40,77,62,25,82,38,0,91
51,80,111,142,94,95,135,70,108,142,70,76,30,120,68,42,77,62,25,81,36,0,90
51,80,114,139,94,95,135,70,112,139,70,76,30,120,64,44,77,62,25,79,34,0,90
65,80,117,136,94,95,135,70,115,136,70,76,30,120,60,47,77,62,25,79,34,0,90
51,81,120,134,94,95,135,70,118,134,71,76,30,120,56,49,77,62,25,75,31,0,90
